,participant_id,vibration,elbow_end_deg,error,move_times
0,1,0,117.59783884967678,-3.7021342891937996,0.6315070580000368
1,1,1,113.37476490023306,-7.821923340487045,0.7180271299999731
2,1,2,114.51248550806149,-7.299031095706227,0.7375290533333403
3,1,3,111.25083041658756,-9.990595849678511,0.6755134033333585
4,2,0,116.61606018974061,-3.9501649788622446,0.7629401580000013
5,2,1,115.46793776214007,-5.11301540710797,0.73255658666673
6,2,2,116.91935425960696,-3.702384837437497,0.7431841266666803
7,2,3,114.07687878466473,-6.194922317872793,0.7107923966666324
8,3,0,117.9284160366823,-2.499512227592649,0.9292348853334382
9,3,1,116.77345952911347,-3.3837637432483185,0.9957365433333204
10,3,2,119.93106709156632,-0.28616607245769876,1.0109658033333593
11,3,3,113.11923193481083,-7.082071985438378,0.9908555933331323
12,4,0,112.19656991682393,-4.677518476317615,0.8631802013333314
13,4,1,110.59403647598629,-6.277055822659792,0.8382534633334369
14,4,2,111.16748683619434,-5.956563560546937,0.8511611333333197
15,4,3,107.13010750138632,-10.056988026392533,0.8241159233333747
16,5,0,114.87876834585023,-1.6629339434210955,0.8572574040000381
17,5,1,112.21383295849279,-4.3339193259197355,0.9029011666666975
18,5,2,114.14542482793972,-2.763462820447334,0.8921447333334224
19,5,3,110.09165132858081,-6.347222208525012,0.8437368800000361
20,6,0,115.8265975372506,-3.127869088638921,1.0181065619999088
21,6,1,111.28613431934063,-7.65556346671981,1.0922576233338381
22,6,2,113.63993490467621,-5.075613776482896,1.0722635133333824
23,6,3,107.37459680271569,-11.65569348774652,1.1010381033332426
24,7,0,118.57233880614581,-0.08372320924254359,0.8210096786667236
25,7,1,118.03272374937819,-0.2117819570547776,0.9209845866667213
26,7,2,121.19924768179226,2.530328999369264,0.8374801600000562
27,7,3,112.96790605745427,-5.674303245186494,0.9427225266667241
28,8,0,116.14325301458356,-4.3176890906298135,1.0577973179999511
29,8,1,110.71365481092431,-9.776087094382115,0.9879239000001689
30,8,2,116.62446431320394,-3.727714538192479,1.034567400000075
31,8,3,110.552795595341,-9.557376949712397,1.015189516666578
32,9,0,120.89106961515803,0.4101963115100191,1.0905334613334223
33,9,1,120.9125652093716,0.6805206109972375,1.1704912533331784
34,9,2,125.18949310557872,4.81957595178669,1.1950091033331773
35,9,3,119.51423051159783,-0.974497124153613,1.1509678466667537
36,10,0,119.63941481266139,-1.1662125072568845,0.9154465606665083
37,10,1,117.2935491839541,-3.230712315772296,0.8445077066664453
38,10,2,120.36680598998448,-0.40823223972135453,0.9166278599998502
39,10,3,116.2948510288741,-4.4754787858652465,0.9236377833333488
40,11,0,120.01657077419081,-0.7664533489335783,0.7729362160000407
41,11,1,116.09931194230036,-4.549052264281171,0.8419531833337411
42,11,2,123.39173045959024,2.790032190712493,0.9446214433334413
43,11,3,116.38161348368187,-4.374945986199266,0.850939759999892
44,12,0,118.4673444241244,-2.076720054821552,0.9812278559999686
45,12,1,116.62919302612877,-4.184871648183063,1.070188089999859
46,12,2,119.73352686535392,-1.2311098026491607,0.9571586833334853
47,12,3,114.01408542980921,-6.871090719672177,1.1128795233333222
48,13,0,122.84592793331782,1.9739592559213621,0.8130513333333147
49,13,1,119.55617225393914,-0.9670076211787146,0.9267270166665185
50,13,2,128.6642578496432,7.870527177217078,0.9144616066666761
51,13,3,114.48505800888462,-5.948739685906471,0.8268297200002053
52,14,0,117.36849131886724,-3.3593721344409473,1.0227359053333687
53,14,1,116.72783333987316,-3.6156459339622407,1.0340831466664289
54,14,2,121.1088183799872,0.32162487813710067,1.0597734666665322
55,14,3,113.72073189833814,-6.711589516897274,1.0778298266667359
56,15,0,116.71885553636389,-3.8519996391889206,1.0024054266666402
57,15,1,117.68283822779306,-3.192308189092326,1.0471546466666042
58,15,2,120.22402197812208,-0.57182422582763,1.0605682066665394
59,15,3,116.14394709506472,-4.491561200709328,1.032722563333209
